Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE3KJG,146.640000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Lavant,,,
2,VA3TEL,145.230000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Christie Lake,,,
3,U-VE3WPO,442.400000,+,5.000000,Tone,100.0,100.0,023,NN,FM,6.25,,Westport,,,
4,VE3LCA,146.955000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Perth,,,
5,U-VE3REX,442.200000,+,5.000000,Tone,100.0,100.0,023,NN,FM,6.25,,Rideau Ferry,,,
6,VE3HTN,146.865000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Toledo,,,
7,VA3ARE,147.270000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Almonte,,,
8,U-VA3AAR,444.300000,+,5.000000,Tone,100.0,100.0,023,NN,FM,6.25,,Almonte,,,
9,VE3RLR,147.210000,+,0.600000,TSQL,151.4,151.4,023,NN,FM,5.00,,Smiths Falls,,,
10,VE3RNU,145.370000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Tweed,,,
